Server,CPU,RAM,Network,Date,Time
172.17.0.6,100,21.25,0.06,2024-11-04,06:56:52
172.17.0.5,100,21.23,0.06,2024-11-04,06:56:53
172.17.0.4,8.2,21.22,0.06,2024-11-04,06:56:55
172.17.0.2,100,21.22,0.06,2024-11-04,06:56:57
172.17.0.3,100,21.21,0.02,2024-11-04,06:57:00
172.17.0.8,7.4,21.23,0.06,2024-11-04,06:57:06
172.17.0.7,100,21.29,0.06,2024-11-04,06:57:08
172.17.0.6,100,21.29,0.06,2024-11-04,06:57:09
172.17.0.5,0.8,21.26,0.06,2024-11-04,06:57:11
172.17.0.4,1.7,21.32,0.06,2024-11-04,06:57:13
172.17.0.2,100,21.34,0.06,2024-11-04,06:57:14
172.17.0.3,100,21.31,0.06,2024-11-04,06:57:16
172.17.0.8,0.8,21.18,0.06,2024-11-04,06:57:22
172.17.0.7,100,21.17,0.06,2024-11-04,06:57:23
172.17.0.6,5,21.18,0.06,2024-11-04,06:57:25
172.17.0.5,1.6,21.20,0.06,2024-11-04,06:57:27
172.17.0.4,100,21.20,0.06,2024-11-04,06:57:28
172.17.0.2,100,21.16,0.06,2024-11-04,06:57:30
172.17.0.3,100,21.21,0.06,2024-11-04,06:57:32
172.17.0.8,0.8,21.22,0.06,2024-11-04,06:57:39
172.17.0.7,3.2,21.20,0.06,2024-11-04,06:57:41
172.17.0.6,11.2,21.11,0.06,2024-11-04,06:57:43
172.17.0.5,1.6,21.13,0.06,2024-11-04,06:57:44
172.17.0.4,3.2,21.12,0.06,2024-11-04,06:57:46
172.17.0.2,5.7,21.13,0.06,2024-11-04,06:57:48
172.17.0.3,100,21.12,0.06,2024-11-04,06:57:49
172.17.0.8,100,21.13,0.06,2024-11-04,06:57:55
172.17.0.7,10.6,21.15,0.06,2024-11-04,06:57:57
172.17.0.6,100,21.09,0.06,2024-11-04,06:57:58
172.17.0.5,100,21.12,0.06,2024-11-04,06:58:00
172.17.0.4,100,21.12,0.06,2024-11-04,06:58:02
172.17.0.2,100,21.12,0.06,2024-11-04,06:58:03
172.17.0.3,10.6,21.11,0.06,2024-11-04,06:58:05
172.17.0.8,9.8,21.16,0.06,2024-11-04,06:58:13
172.17.0.7,100,21.15,0.06,2024-11-04,06:58:14
172.17.0.6,1.6,21.16,0.06,2024-11-04,06:58:16
172.17.0.5,7.3,21.13,0.06,2024-11-04,06:58:18
172.17.0.4,100,21.17,0.06,2024-11-04,06:58:19
172.17.0.2,17.5,21.18,0.06,2024-11-04,06:58:21
172.17.0.3,100,21.16,0.06,2024-11-04,06:58:23
172.17.0.8,100,21.12,0.06,2024-11-04,06:58:28
172.17.0.7,100,21.17,0.06,2024-11-04,06:58:30
172.17.0.6,100,21.18,0.06,2024-11-04,06:58:32
172.17.0.5,100,21.16,0.06,2024-11-04,06:58:33
172.17.0.4,6.7,21.17,0.06,2024-11-04,06:58:35
172.17.0.2,100,21.17,0.06,2024-11-04,06:58:37
172.17.0.3,5.7,21.17,0.06,2024-11-04,06:58:38
172.17.0.8,1.6,21.26,0.06,2024-11-04,06:58:46
172.17.0.7,100,21.26,0.06,2024-11-04,06:58:48
172.17.0.6,1.6,21.23,0.06,2024-11-04,06:58:49
172.17.0.5,0.8,21.22,0.06,2024-11-04,06:58:51
172.17.0.4,0.8,21.25,0.06,2024-11-04,06:58:53
172.17.0.2,100,21.22,0.06,2024-11-04,06:58:54
172.17.0.3,3.4,21.25,0.06,2024-11-04,06:58:56
172.17.0.8,0.8,21.23,0.06,2024-11-04,06:59:02
172.17.0.7,100,21.25,0.06,2024-11-04,06:59:03
172.17.0.6,100,21.30,0.06,2024-11-04,06:59:05
172.17.0.5,100,21.23,0.06,2024-11-04,06:59:07
172.17.0.4,100,21.21,0.06,2024-11-04,06:59:08
172.17.0.2,0.8,21.18,0.06,2024-11-04,06:59:10
172.17.0.3,100,21.21,0.06,2024-11-04,06:59:12
172.17.0.8,0.8,21.23,0.06,2024-11-04,06:59:19
172.17.0.7,1.6,21.23,0.06,2024-11-04,06:59:21
172.17.0.6,9.8,21.25,0.06,2024-11-04,06:59:23
172.17.0.5,100,21.22,0.06,2024-11-04,06:59:24
172.17.0.4,100,21.26,0.06,2024-11-04,06:59:26
172.17.0.2,11.3,21.29,0.06,2024-11-04,06:59:28
172.17.0.3,100,21.30,0.06,2024-11-04,06:59:29
172.17.0.8,100,21.31,0.06,2024-11-04,06:59:35
172.17.0.7,5,21.32,0.06,2024-11-04,06:59:37
172.17.0.6,0.8,21.34,0.06,2024-11-04,06:59:38
172.17.0.5,0.8,21.32,0.06,2024-11-04,06:59:40
172.17.0.4,2.4,21.29,0.06,2024-11-04,06:59:42
172.17.0.2,100,21.29,0.06,2024-11-04,06:59:43
172.17.0.3,100,21.29,0.06,2024-11-04,06:59:45
172.17.0.8,0.8,21.31,0.02,2024-11-04,06:59:53
172.17.0.7,100,21.31,0.06,2024-11-04,06:59:54
172.17.0.6,1.6,21.32,0.06,2024-11-04,06:59:56
172.17.0.5,8.1,21.31,0.06,2024-11-04,06:59:58
172.17.0.4,100,21.31,0.06,2024-11-04,06:59:59
172.17.0.2,100,21.35,0.06,2024-11-04,07:00:01
172.17.0.3,1.6,21.35,0.06,2024-11-04,07:00:03
172.17.0.8,100,21.30,0.06,2024-11-04,07:00:08
172.17.0.7,9.6,21.32,0.06,2024-11-04,07:00:10
172.17.0.6,1.6,21.34,0.06,2024-11-04,07:00:12
172.17.0.5,100,21.31,0.06,2024-11-04,07:00:13
172.17.0.4,9.8,21.31,0.06,2024-11-04,07:00:15
172.17.0.2,100,21.31,0.06,2024-11-04,07:00:17
172.17.0.3,100,21.34,0.06,2024-11-04,07:00:18
172.17.0.8,0.8,21.36,0.06,2024-11-04,07:00:24
172.17.0.7,100,21.36,0.06,2024-11-04,07:00:28
172.17.0.6,0.8,21.35,0.06,2024-11-04,07:00:29
172.17.0.5,0.8,21.36,0.06,2024-11-04,07:00:31
172.17.0.4,100,21.31,0.06,2024-11-04,07:00:33
172.17.0.2,100,21.35,0.06,2024-11-04,07:00:34
172.17.0.3,100,21.32,0.06,2024-11-04,07:00:36
172.17.0.8,100,21.31,0.06,2024-11-04,07:00:41
172.17.0.7,9.5,21.31,0.06,2024-11-04,07:00:43
172.17.0.6,100,21.31,0.06,2024-11-04,07:00:45
172.17.0.5,100,21.32,0.06,2024-11-04,07:00:46
172.17.0.4,100,21.32,0.06,2024-11-04,07:00:48
172.17.0.2,2.4,21.35,0.06,2024-11-04,07:00:50
172.17.0.3,1.6,21.34,0.06,2024-11-04,07:00:51
172.17.0.8,5.7,21.32,0.06,2024-11-04,07:00:57
172.17.0.7,100,21.31,0.06,2024-11-04,07:00:59
172.17.0.6,100,21.32,0.06,2024-11-04,07:01:02
172.17.0.5,24.8,21.34,0.06,2024-11-04,07:01:04
172.17.0.4,100,21.34,0.06,2024-11-04,07:01:06
172.17.0.2,100,21.31,0.06,2024-11-04,07:01:07
172.17.0.3,100,21.31,0.06,2024-11-04,07:01:09
172.17.0.8,100,21.29,0.06,2024-11-04,07:01:15
172.17.0.7,100,21.25,0.06,2024-11-04,07:01:16
172.17.0.6,100,21.25,0.06,2024-11-04,07:01:18
172.17.0.5,100,21.25,0.06,2024-11-04,07:01:20
172.17.0.4,100,21.26,0.06,2024-11-04,07:01:21
172.17.0.2,0.8,21.30,0.06,2024-11-04,07:01:23
172.17.0.3,100,21.29,0.06,2024-11-04,07:01:24
172.17.0.8,100,21.32,0.06,2024-11-04,07:01:30
172.17.0.7,100,21.30,0.06,2024-11-04,07:01:32
172.17.0.6,100,21.30,0.02,2024-11-04,07:01:36
172.17.0.5,0.8,21.29,0.06,2024-11-04,07:01:37
172.17.0.4,100,21.32,0.06,2024-11-04,07:01:39
172.17.0.2,100,21.34,0.06,2024-11-04,07:01:41
172.17.0.3,0.8,21.31,0.06,2024-11-04,07:01:42
172.17.0.8,100,21.31,0.06,2024-11-04,07:01:48
172.17.0.7,0.8,21.29,0.06,2024-11-04,07:01:49
172.17.0.6,0.8,21.31,0.06,2024-11-04,07:01:51
172.17.0.5,100,21.30,0.06,2024-11-04,07:01:53
172.17.0.4,5.8,21.31,0.06,2024-11-04,07:01:54
172.17.0.2,100,21.30,0.06,2024-11-04,07:01:56
172.17.0.3,100,21.34,0.06,2024-11-04,07:01:58
172.17.0.8,0.8,21.32,0.06,2024-11-04,07:02:03
172.17.0.7,1.7,21.32,0.06,2024-11-04,07:02:05
172.17.0.6,5.6,21.29,0.06,2024-11-04,07:02:07
172.17.0.5,100,21.30,0.02,2024-11-04,07:02:10
172.17.0.4,0.8,21.30,0.06,2024-11-04,07:02:12
172.17.0.2,1.6,21.29,0.06,2024-11-04,07:02:14
172.17.0.3,0.8,21.30,0.06,2024-11-04,07:02:15
172.17.0.8,0.8,21.29,0.06,2024-11-04,07:02:21
172.17.0.7,100,21.32,0.06,2024-11-04,07:02:23
172.17.0.6,100,21.31,0.06,2024-11-04,07:02:24
172.17.0.5,9.8,21.32,0.06,2024-11-04,07:02:26
172.17.0.4,100,21.29,0.06,2024-11-04,07:02:28
172.17.0.2,100,21.31,0.06,2024-11-04,07:02:29
172.17.0.3,0.8,21.31,0.06,2024-11-04,07:02:31
172.17.0.8,5.9,21.29,0.06,2024-11-04,07:02:36
172.17.0.7,0.8,21.31,0.06,2024-11-04,07:02:38
172.17.0.6,100,21.31,0.06,2024-11-04,07:02:40
172.17.0.5,100,21.34,0.06,2024-11-04,07:02:41
172.17.0.4,4.8,21.31,0.06,2024-11-04,07:02:45
172.17.0.2,100,21.30,0.06,2024-11-04,07:02:47
172.17.0.3,100,21.32,0.06,2024-11-04,07:02:48
172.17.0.8,2.4,21.35,0.06,2024-11-04,07:02:54
172.17.0.7,0.8,21.31,0.06,2024-11-04,07:02:56
172.17.0.6,0.8,21.32,0.06,2024-11-04,07:02:57
172.17.0.5,100,21.29,0.06,2024-11-04,07:02:59
172.17.0.4,1.6,21.30,0.06,2024-11-04,07:03:01
172.17.0.2,6.5,21.26,0.06,2024-11-04,07:03:02
172.17.0.3,0.8,21.27,0.06,2024-11-04,07:03:04
172.17.0.8,10.5,21.26,0.06,2024-11-04,07:03:09
172.17.0.7,100,21.27,0.06,2024-11-04,07:03:11
172.17.0.6,8.2,21.30,0.06,2024-11-04,07:03:13
172.17.0.5,4.9,21.35,0.06,2024-11-04,07:03:15
172.17.0.4,3.3,21.35,0.02,2024-11-04,07:03:18
172.17.0.2,2.4,21.31,0.06,2024-11-04,07:03:20
172.17.0.3,0.8,21.31,0.06,2024-11-04,07:03:22
172.17.0.8,100,21.35,0.06,2024-11-04,07:03:27
172.17.0.7,0.8,21.35,0.06,2024-11-04,07:03:29
172.17.0.6,5.6,21.35,0.06,2024-11-04,07:03:31
172.17.0.5,100,21.34,0.06,2024-11-04,07:03:32
172.17.0.4,100,21.31,0.06,2024-11-04,07:03:34
172.17.0.2,100,21.32,0.06,2024-11-04,07:03:36
172.17.0.3,100,21.35,0.06,2024-11-04,07:03:37
172.17.0.8,0.8,21.36,0.06,2024-11-04,07:03:43
172.17.0.7,100,21.36,0.06,2024-11-04,07:03:44
172.17.0.6,100,21.35,0.06,2024-11-04,07:03:46
172.17.0.5,1.6,21.37,0.06,2024-11-04,07:03:48
172.17.0.4,0.8,21.32,0.06,2024-11-04,07:03:50
172.17.0.2,100,21.34,0.06,2024-11-04,07:03:53
172.17.0.3,100,21.34,0.06,2024-11-04,07:03:55
172.17.0.8,100,21.29,0.06,2024-11-04,07:04:01
172.17.0.7,100,21.30,0.06,2024-11-04,07:04:02
172.17.0.6,100,21.30,0.06,2024-11-04,07:04:04
172.17.0.5,2.5,21.30,0.06,2024-11-04,07:04:05
172.17.0.4,100,21.31,0.06,2024-11-04,07:04:07
172.17.0.2,100,21.32,0.06,2024-11-04,07:04:09
172.17.0.3,100,21.34,0.06,2024-11-04,07:04:10
172.17.0.8,1.6,21.35,0.06,2024-11-04,07:04:16
172.17.0.7,1.6,21.40,0.06,2024-11-04,07:04:18
172.17.0.6,100,21.36,0.06,2024-11-04,07:04:20
172.17.0.5,0.8,21.39,0.06,2024-11-04,07:04:21
172.17.0.4,100,21.40,0.06,2024-11-04,07:04:23
172.17.0.2,100,21.40,0.02,2024-11-04,07:04:27
172.17.0.3,0.8,21.35,0.06,2024-11-04,07:04:28
172.17.0.8,100,21.37,0.06,2024-11-04,07:04:34
172.17.0.7,1.6,21.34,0.06,2024-11-04,07:04:36
172.17.0.6,100,21.34,0.06,2024-11-04,07:04:37
172.17.0.5,0.8,21.31,0.06,2024-11-04,07:04:39
172.17.0.4,100,21.35,0.06,2024-11-04,07:04:40
172.17.0.2,100,21.37,0.06,2024-11-04,07:04:42
172.17.0.3,0.8,21.35,0.06,2024-11-04,07:04:44
172.17.0.8,0.8,21.32,0.06,2024-11-04,07:04:50
172.17.0.7,100,21.35,0.06,2024-11-04,07:04:51
172.17.0.6,0.8,21.34,0.06,2024-11-04,07:04:53
172.17.0.5,0.8,21.32,0.06,2024-11-04,07:04:55
172.17.0.4,14.2,21.32,0.06,2024-11-04,07:04:56
172.17.0.2,0.8,21.35,0.06,2024-11-04,07:04:58
172.17.0.3,100,21.32,0.02,2024-11-04,07:05:01
172.17.0.8,2.4,21.32,0.06,2024-11-04,07:05:07
172.17.0.7,100,21.35,0.06,2024-11-04,07:05:09
172.17.0.6,7.1,21.36,0.06,2024-11-04,07:05:10
172.17.0.5,1.6,21.34,0.06,2024-11-04,07:05:12
172.17.0.4,100,21.37,0.06,2024-11-04,07:05:14
172.17.0.2,2.5,21.35,0.06,2024-11-04,07:05:15
172.17.0.3,100,21.37,0.06,2024-11-04,07:05:17
172.17.0.8,100,21.37,0.06,2024-11-04,07:05:23
172.17.0.7,3.2,21.35,0.06,2024-11-04,07:05:24
172.17.0.6,0.8,21.37,0.06,2024-11-04,07:05:26
172.17.0.5,0.8,21.34,0.06,2024-11-04,07:05:28
172.17.0.4,0.8,21.36,0.06,2024-11-04,07:05:29
172.17.0.2,100,21.34,0.06,2024-11-04,07:05:31
172.17.0.3,100,21.39,0.06,2024-11-04,07:05:32
172.17.0.8,11.2,21.42,0.06,2024-11-04,07:05:40
172.17.0.7,100,21.44,0.06,2024-11-04,07:05:42
172.17.0.6,100,21.45,0.06,2024-11-04,07:05:43
172.17.0.5,100,21.44,0.06,2024-11-04,07:05:45
172.17.0.4,100,21.41,0.06,2024-11-04,07:05:47
172.17.0.2,100,21.42,0.06,2024-11-04,07:05:48
172.17.0.3,100,21.44,0.06,2024-11-04,07:05:50
172.17.0.8,100,21.42,0.06,2024-11-04,07:05:56
172.17.0.7,100,21.42,0.06,2024-11-04,07:05:57
172.17.0.6,100,21.45,0.06,2024-11-04,07:05:59
172.17.0.5,100,21.45,0.06,2024-11-04,07:06:01
172.17.0.4,100,21.44,0.06,2024-11-04,07:06:02
172.17.0.2,0.8,21.44,0.06,2024-11-04,07:06:04
172.17.0.3,8.3,21.46,0.06,2024-11-04,07:06:06
172.17.0.8,0.8,21.42,0.06,2024-11-04,07:06:13
172.17.0.7,11.3,21.46,0.06,2024-11-04,07:06:15
172.17.0.6,0.8,21.45,0.06,2024-11-04,07:06:16
172.17.0.5,100,21.48,0.06,2024-11-04,07:06:18
172.17.0.4,15.5,21.48,0.06,2024-11-04,07:06:20
172.17.0.2,1.6,21.46,0.06,2024-11-04,07:06:21
172.17.0.3,100,21.44,0.06,2024-11-04,07:06:23
172.17.0.8,0.8,21.42,0.06,2024-11-04,07:06:29
172.17.0.7,100,21.46,0.06,2024-11-04,07:06:30
172.17.0.6,12.1,21.44,0.06,2024-11-04,07:06:32
172.17.0.5,0.8,21.44,0.06,2024-11-04,07:06:34
172.17.0.4,0.8,21.46,0.06,2024-11-04,07:06:35
172.17.0.2,0.8,21.46,0.06,2024-11-04,07:06:37
172.17.0.3,1.6,21.46,0.06,2024-11-04,07:06:39
172.17.0.8,0.8,21.48,0.06,2024-11-04,07:06:46
172.17.0.7,100,21.49,0.06,2024-11-04,07:06:48
172.17.0.6,100,21.50,0.06,2024-11-04,07:06:49
172.17.0.5,100,21.48,0.06,2024-11-04,07:06:51
172.17.0.4,1.6,21.46,0.06,2024-11-04,07:06:53
172.17.0.2,2.5,21.48,0.06,2024-11-04,07:06:54
172.17.0.3,100,21.48,0.06,2024-11-04,07:06:56
172.17.0.8,0.8,21.49,0.06,2024-11-04,07:07:02
172.17.0.7,100,21.45,0.06,2024-11-04,07:07:03
172.17.0.6,8.9,21.49,0.06,2024-11-04,07:07:05
172.17.0.5,100,21.49,0.06,2024-11-04,07:07:07
172.17.0.4,0.8,21.51,0.06,2024-11-04,07:07:08
172.17.0.2,6.7,21.49,0.06,2024-11-04,07:07:10
172.17.0.3,100,21.48,0.06,2024-11-04,07:07:12
172.17.0.8,9.8,21.48,0.06,2024-11-04,07:07:19
172.17.0.7,1.6,21.48,0.06,2024-11-04,07:07:21
172.17.0.6,100,21.48,0.06,2024-11-04,07:07:22
172.17.0.5,100,21.45,0.06,2024-11-04,07:07:24
172.17.0.4,100,21.49,0.06,2024-11-04,07:07:26
172.17.0.2,0.8,21.53,0.06,2024-11-04,07:07:27
172.17.0.3,100,21.56,0.06,2024-11-04,07:07:29
172.17.0.8,100,21.54,0.06,2024-11-04,07:07:35
172.17.0.7,100,21.49,0.06,2024-11-04,07:07:36
172.17.0.6,100,21.49,0.06,2024-11-04,07:07:38
172.17.0.5,5,21.50,0.06,2024-11-04,07:07:39
172.17.0.4,100,21.50,0.06,2024-11-04,07:07:41
172.17.0.2,0.8,21.46,0.06,2024-11-04,07:07:43
172.17.0.3,100,21.50,0.06,2024-11-04,07:07:44
172.17.0.8,0.8,21.49,0.06,2024-11-04,07:07:52
172.17.0.7,0.8,21.46,0.06,2024-11-04,07:07:53
172.17.0.6,100,21.51,0.06,2024-11-04,07:07:55
172.17.0.5,0.8,21.51,0.06,2024-11-04,07:07:57
172.17.0.4,100,21.53,0.06,2024-11-04,07:07:58
172.17.0.2,100,21.55,0.06,2024-11-04,07:08:00
172.17.0.3,2.5,21.54,0.06,2024-11-04,07:08:02
172.17.0.8,100,21.56,0.06,2024-11-04,07:08:07
172.17.0.7,5.7,21.60,0.06,2024-11-04,07:08:09
172.17.0.6,100,21.58,0.06,2024-11-04,07:08:11
172.17.0.5,100,21.56,0.06,2024-11-04,07:08:12
172.17.0.4,13.5,21.54,0.06,2024-11-04,07:08:14
172.17.0.2,0.8,21.54,0.06,2024-11-04,07:08:15
172.17.0.3,12.2,21.53,0.06,2024-11-04,07:08:17
172.17.0.8,100,21.55,0.02,2024-11-04,07:08:24
172.17.0.7,100,21.54,0.06,2024-11-04,07:08:26
172.17.0.6,4.1,21.59,0.06,2024-11-04,07:08:28
172.17.0.5,100,21.62,0.06,2024-11-04,07:08:29
172.17.0.4,100,21.68,0.06,2024-11-04,07:08:31
172.17.0.2,1.6,21.67,0.06,2024-11-04,07:08:33
172.17.0.3,100,21.67,0.06,2024-11-04,07:08:34
172.17.0.8,100,21.62,0.06,2024-11-04,07:08:40
172.17.0.7,2.5,21.59,0.06,2024-11-04,07:08:42
172.17.0.6,0.8,21.60,0.06,2024-11-04,07:08:43
172.17.0.5,100,21.59,0.06,2024-11-04,07:08:45
172.17.0.4,4,21.60,0.06,2024-11-04,07:08:47
172.17.0.2,100,21.60,0.06,2024-11-04,07:08:48
172.17.0.3,0.8,21.60,0.06,2024-11-04,07:08:50
172.17.0.8,0.8,21.62,0.06,2024-11-04,07:08:56
172.17.0.7,100,21.64,0.06,2024-11-04,07:08:59
172.17.0.6,2.5,21.60,0.06,2024-11-04,07:09:01
172.17.0.5,2.5,21.62,0.06,2024-11-04,07:09:02
172.17.0.4,100,21.62,0.06,2024-11-04,07:09:04
172.17.0.2,100,21.64,0.06,2024-11-04,07:09:06
172.17.0.3,1.6,21.64,0.06,2024-11-04,07:09:07
172.17.0.8,0.8,21.63,0.06,2024-11-04,07:09:13
172.17.0.7,100,21.70,0.06,2024-11-04,07:09:14
172.17.0.6,100,21.68,0.06,2024-11-04,07:09:16
172.17.0.5,0.8,21.68,0.06,2024-11-04,07:09:18
172.17.0.4,100,21.69,0.06,2024-11-04,07:09:19
172.17.0.2,4,21.69,0.06,2024-11-04,07:09:21
172.17.0.3,100,21.70,0.06,2024-11-04,07:09:23
172.17.0.8,100,21.70,0.06,2024-11-04,07:09:28
172.17.0.7,0.8,21.72,0.06,2024-11-04,07:09:30
172.17.0.6,5,21.70,0.06,2024-11-04,07:09:33
172.17.0.5,100,21.65,0.06,2024-11-04,07:09:35
172.17.0.4,100,21.67,0.06,2024-11-04,07:09:37
172.17.0.2,18.3,21.67,0.06,2024-11-04,07:09:38
172.17.0.3,0.8,21.67,0.06,2024-11-04,07:09:40
172.17.0.8,0.8,21.72,0.06,2024-11-04,07:09:46
172.17.0.7,1.6,21.68,0.06,2024-11-04,07:09:47
172.17.0.6,100,21.70,0.06,2024-11-04,07:09:49
172.17.0.5,100,21.70,0.06,2024-11-04,07:09:51
172.17.0.4,0.8,21.72,0.06,2024-11-04,07:09:52
172.17.0.2,100,21.72,0.06,2024-11-04,07:09:54
172.17.0.3,100,21.70,0.06,2024-11-04,07:09:56
172.17.0.8,4.9,21.70,0.06,2024-11-04,07:10:02
172.17.0.7,100,21.67,0.06,2024-11-04,07:10:03
172.17.0.6,6.7,21.63,0.02,2024-11-04,07:10:06
172.17.0.5,4.1,21.64,0.06,2024-11-04,07:10:08
172.17.0.4,100,21.67,0.06,2024-11-04,07:10:10
172.17.0.2,0.8,21.67,0.06,2024-11-04,07:10:11
172.17.0.3,9.7,21.68,0.06,2024-11-04,07:10:13
172.17.0.8,100,21.68,0.06,2024-11-04,07:10:19
172.17.0.7,1.6,21.68,0.06,2024-11-04,07:10:20
172.17.0.6,100,21.67,0.06,2024-11-04,07:10:22
172.17.0.5,100,21.65,0.06,2024-11-04,07:10:24
172.17.0.4,100,21.67,0.06,2024-11-04,07:10:25
172.17.0.2,0.8,21.69,0.06,2024-11-04,07:10:27
172.17.0.3,0.8,21.68,0.06,2024-11-04,07:10:29
172.17.0.8,0.8,21.67,0.06,2024-11-04,07:10:34
172.17.0.7,15.2,21.65,0.06,2024-11-04,07:10:36
172.17.0.6,0.8,21.69,0.06,2024-11-04,07:10:38
172.17.0.5,1.6,21.67,0.06,2024-11-04,07:10:42
172.17.0.4,7.9,21.68,0.06,2024-11-04,07:10:43
172.17.0.2,8.1,21.68,0.06,2024-11-04,07:10:45
172.17.0.3,100,21.64,0.06,2024-11-04,07:10:47
172.17.0.8,0.8,21.69,0.06,2024-11-04,07:10:53
172.17.0.7,100,21.68,0.06,2024-11-04,07:10:54
172.17.0.6,100,21.69,0.06,2024-11-04,07:10:56
172.17.0.5,100,21.70,0.06,2024-11-04,07:10:57
172.17.0.4,0.8,21.70,0.06,2024-11-04,07:10:59
172.17.0.2,100,21.65,0.06,2024-11-04,07:11:01
172.17.0.3,1.6,21.64,0.06,2024-11-04,07:11:02
172.17.0.8,100,21.63,0.06,2024-11-04,07:11:08
172.17.0.7,100,21.65,0.06,2024-11-04,07:11:10
172.17.0.6,7.5,21.65,0.06,2024-11-04,07:11:11
172.17.0.5,0.8,21.65,0.02,2024-11-04,07:11:15
172.17.0.4,100,21.67,0.06,2024-11-04,07:11:17
172.17.0.2,2.5,21.63,0.06,2024-11-04,07:11:18
172.17.0.3,100,21.63,0.06,2024-11-04,07:11:20
172.17.0.8,100,21.67,0.06,2024-11-04,07:11:26
172.17.0.7,0.8,21.67,0.06,2024-11-04,07:11:27
172.17.0.6,100,21.68,0.06,2024-11-04,07:11:29
172.17.0.5,100,21.68,0.06,2024-11-04,07:11:31
172.17.0.4,0.8,21.67,0.06,2024-11-04,07:11:32
172.17.0.2,100,21.64,0.06,2024-11-04,07:11:34
172.17.0.3,100,21.65,0.06,2024-11-04,07:11:36
172.17.0.8,100,21.67,0.06,2024-11-04,07:11:41
172.17.0.7,100,21.63,0.06,2024-11-04,07:11:43
172.17.0.6,0.8,21.60,0.06,2024-11-04,07:11:44
172.17.0.5,100,21.60,0.06,2024-11-04,07:11:46
172.17.0.4,3.2,21.62,0.02,2024-11-04,07:11:50
172.17.0.2,0.8,21.63,0.06,2024-11-04,07:11:51
172.17.0.3,100,21.62,0.06,2024-11-04,07:11:53
172.17.0.8,0.8,21.60,0.06,2024-11-04,07:11:59
172.17.0.7,9.9,21.63,0.06,2024-11-04,07:12:00
172.17.0.6,100,21.60,0.06,2024-11-04,07:12:02
172.17.0.5,0.8,21.65,0.06,2024-11-04,07:12:04
172.17.0.4,16.9,21.68,0.06,2024-11-04,07:12:05
172.17.0.2,0.8,21.69,0.06,2024-11-04,07:12:07
172.17.0.3,100,21.62,0.06,2024-11-04,07:12:09
172.17.0.8,0.8,21.64,0.06,2024-11-04,07:12:14
172.17.0.7,0.8,21.62,0.06,2024-11-04,07:12:16
172.17.0.6,100,21.58,0.06,2024-11-04,07:12:17
172.17.0.5,100,21.62,0.06,2024-11-04,07:12:19
172.17.0.4,100,21.63,0.06,2024-11-04,07:12:21
172.17.0.2,0.8,21.63,0.06,2024-11-04,07:12:24
172.17.0.3,100,21.62,0.06,2024-11-04,07:12:26
172.17.0.8,100,21.60,0.06,2024-11-04,07:12:31
172.17.0.7,0.8,21.62,0.06,2024-11-04,07:12:33
172.17.0.6,3.3,21.65,0.06,2024-11-04,07:12:35
172.17.0.5,0.8,21.64,0.06,2024-11-04,07:12:36
172.17.0.4,4.1,21.67,0.06,2024-11-04,07:12:38
172.17.0.2,3.4,21.67,0.06,2024-11-04,07:12:40
172.17.0.3,100,21.65,0.06,2024-11-04,07:12:41
172.17.0.8,100,21.69,0.06,2024-11-04,07:12:47
172.17.0.7,100,21.72,0.06,2024-11-04,07:12:48
172.17.0.6,1.7,21.72,0.06,2024-11-04,07:12:50
172.17.0.5,100,21.72,0.06,2024-11-04,07:12:52
172.17.0.4,100,21.70,0.06,2024-11-04,07:12:53
172.17.0.2,100,21.72,0.06,2024-11-04,07:12:55
172.17.0.3,100,21.73,0.06,2024-11-04,07:12:58
172.17.0.8,8.3,21.73,0.06,2024-11-04,07:13:04
172.17.0.7,100,21.74,0.06,2024-11-04,07:13:06
172.17.0.6,100,21.74,0.06,2024-11-04,07:13:07
172.17.0.5,100,21.78,0.06,2024-11-04,07:13:09
172.17.0.4,2.4,21.82,0.06,2024-11-04,07:13:11
172.17.0.2,100,21.82,0.06,2024-11-04,07:13:12
172.17.0.3,100,21.81,0.06,2024-11-04,07:13:14
172.17.0.8,100,21.76,0.06,2024-11-04,07:13:20
172.17.0.7,100,21.78,0.06,2024-11-04,07:13:21
172.17.0.6,11.2,21.78,0.06,2024-11-04,07:13:23
172.17.0.5,100,21.78,0.06,2024-11-04,07:13:25
172.17.0.4,100,21.78,0.06,2024-11-04,07:13:26
172.17.0.2,100,21.77,0.06,2024-11-04,07:13:28
172.17.0.3,100,21.78,0.02,2024-11-04,07:13:32
172.17.0.8,0.8,21.74,0.06,2024-11-04,07:13:37
172.17.0.7,100,21.76,0.06,2024-11-04,07:13:39
172.17.0.6,0.8,21.76,0.06,2024-11-04,07:13:41
172.17.0.5,100,21.78,0.06,2024-11-04,07:13:42
172.17.0.4,100,21.77,0.06,2024-11-04,07:13:44
172.17.0.2,100,21.76,0.06,2024-11-04,07:13:46
172.17.0.3,100,21.74,0.06,2024-11-04,07:13:47
172.17.0.8,100,21.78,0.06,2024-11-04,07:13:53
172.17.0.7,0.8,21.78,0.06,2024-11-04,07:13:55
172.17.0.6,8.1,21.77,0.06,2024-11-04,07:13:56
172.17.0.5,100,21.73,0.06,2024-11-04,07:13:58
172.17.0.4,0.8,21.73,0.06,2024-11-04,07:14:00
