Server,CPU,RAM,Network,Date,Time
172.17.0.7,1.6,19.99,0.06,2024-11-04,06:43:57
172.17.0.6,0.8,19.98,0.06,2024-11-04,06:43:59
172.17.0.5,100,19.96,0.06,2024-11-04,06:44:02
172.17.0.4,100,19.99,0.06,2024-11-04,06:44:04
172.17.0.2,100,19.94,0.06,2024-11-04,06:44:05
172.17.0.3,0.8,19.98,0.06,2024-11-04,06:44:07
172.17.0.8,0.8,19.95,0.06,2024-11-04,06:44:13
172.17.0.7,100,19.98,0.06,2024-11-04,06:44:14
172.17.0.6,100,20.00,0.06,2024-11-04,06:44:16
172.17.0.5,100,20.00,0.06,2024-11-04,06:44:18
172.17.0.4,5,20.02,0.06,2024-11-04,06:44:19
172.17.0.2,100,20.03,0.06,2024-11-04,06:44:21
172.17.0.3,8.1,20.03,0.06,2024-11-04,06:44:22
172.17.0.8,0.8,20.02,0.06,2024-11-04,06:44:28
172.17.0.7,0.8,20.03,0.06,2024-11-04,06:44:30
172.17.0.6,9.1,19.99,0.06,2024-11-04,06:44:31
172.17.0.5,1.6,19.99,0.03,2024-11-04,06:44:35
172.17.0.4,0.8,19.96,0.06,2024-11-04,06:44:36
172.17.0.2,100,19.98,0.06,2024-11-04,06:44:38
172.17.0.3,7.6,19.99,0.06,2024-11-04,06:44:40
172.17.0.8,2.5,20.00,0.06,2024-11-04,06:44:46
172.17.0.7,100,20.00,0.06,2024-11-04,06:44:47
172.17.0.6,100,19.96,0.06,2024-11-04,06:44:49
172.17.0.5,1.7,20.05,0.06,2024-11-04,06:44:51
172.17.0.4,100,20.09,0.06,2024-11-04,06:44:52
172.17.0.2,100,20.08,0.06,2024-11-04,06:44:54
172.17.0.3,100,20.09,0.06,2024-11-04,06:44:56
172.17.0.8,100,20.08,0.06,2024-11-04,06:45:01
172.17.0.7,0.8,20.18,0.06,2024-11-04,06:45:03
172.17.0.6,100,20.17,0.06,2024-11-04,06:45:05
172.17.0.5,100,20.17,0.03,2024-11-04,06:45:08
172.17.0.4,100,20.21,0.06,2024-11-04,06:45:09
172.17.0.2,100,20.18,0.06,2024-11-04,06:45:11
172.17.0.3,2.4,20.18,0.06,2024-11-04,06:45:13
172.17.0.8,9,20.18,0.06,2024-11-04,06:45:18
172.17.0.7,100,20.17,0.06,2024-11-04,06:45:20
172.17.0.6,2.4,20.17,0.06,2024-11-04,06:45:22
172.17.0.5,0.8,20.17,0.06,2024-11-04,06:45:23
172.17.0.4,100,20.23,0.06,2024-11-04,06:45:25
172.17.0.2,1.6,20.23,0.06,2024-11-04,06:45:27
172.17.0.3,100,20.22,0.06,2024-11-04,06:45:28
172.17.0.8,0.8,20.22,0.06,2024-11-04,06:45:34
172.17.0.7,28,20.21,0.06,2024-11-04,06:45:36
172.17.0.6,100,20.19,0.06,2024-11-04,06:45:37
172.17.0.5,100,20.17,0.06,2024-11-04,06:45:39
172.17.0.4,100,20.18,0.03,2024-11-04,06:45:42
172.17.0.2,100,20.22,0.06,2024-11-04,06:45:44
172.17.0.3,100,20.23,0.06,2024-11-04,06:45:45
172.17.0.8,100,20.29,0.06,2024-11-04,06:45:51
172.17.0.7,5.8,20.28,0.06,2024-11-04,06:45:53
172.17.0.6,100,20.31,0.06,2024-11-04,06:45:55
172.17.0.5,100,20.29,0.06,2024-11-04,06:45:56
172.17.0.4,100,20.33,0.06,2024-11-04,06:45:58
172.17.0.2,1.6,20.35,0.06,2024-11-04,06:46:00
172.17.0.3,100,20.37,0.06,2024-11-04,06:46:01
172.17.0.8,100,20.36,0.06,2024-11-04,06:46:07
172.17.0.7,100,20.35,0.06,2024-11-04,06:46:09
172.17.0.6,4.9,20.35,0.06,2024-11-04,06:46:10
172.17.0.5,100,20.33,0.06,2024-11-04,06:46:12
172.17.0.4,100,20.35,0.06,2024-11-04,06:46:14
172.17.0.2,5,20.32,0.06,2024-11-04,06:46:17
172.17.0.3,5.7,20.33,0.06,2024-11-04,06:46:18
172.17.0.8,100,20.32,0.06,2024-11-04,06:46:24
172.17.0.7,1.7,20.33,0.06,2024-11-04,06:46:26
172.17.0.6,100,20.36,0.06,2024-11-04,06:46:27
172.17.0.5,15,20.33,0.06,2024-11-04,06:46:29
172.17.0.4,100,20.35,0.06,2024-11-04,06:46:31
172.17.0.2,3.3,20.38,0.13,2024-11-04,06:46:32
172.17.0.3,2.4,20.37,0.06,2024-11-04,06:46:34
172.17.0.8,9,20.41,0.06,2024-11-04,06:46:40
172.17.0.7,9.8,20.42,0.06,2024-11-04,06:46:41
172.17.0.6,100,20.43,0.06,2024-11-04,06:46:43
172.17.0.5,100,20.45,0.06,2024-11-04,06:46:45
172.17.0.4,100,20.42,0.06,2024-11-04,06:46:46
172.17.0.2,0.8,20.42,0.03,2024-11-04,06:46:49
172.17.0.3,18.8,20.78,0.06,2024-11-04,06:46:51
172.17.0.8,100,20.42,0.06,2024-11-04,06:46:57
172.17.0.7,100,20.42,0.06,2024-11-04,06:46:58
172.17.0.6,100,20.40,0.06,2024-11-04,06:47:00
172.17.0.5,100,20.40,0.06,2024-11-04,06:47:02
172.17.0.4,17.5,20.42,0.06,2024-11-04,06:47:03
172.17.0.2,100,20.43,0.06,2024-11-04,06:47:05
172.17.0.3,100,20.38,0.06,2024-11-04,06:47:07
172.17.0.8,9.6,20.41,0.06,2024-11-04,06:47:12
172.17.0.7,0.8,20.41,0.06,2024-11-04,06:47:14
172.17.0.6,0.8,20.40,0.06,2024-11-04,06:47:16
172.17.0.5,100,20.38,0.06,2024-11-04,06:47:17
172.17.0.4,0.8,20.41,0.06,2024-11-04,06:47:19
172.17.0.2,2.5,20.41,0.06,2024-11-04,06:47:21
172.17.0.3,100,20.40,0.06,2024-11-04,06:47:24
172.17.0.8,0.8,20.37,0.06,2024-11-04,06:47:29
172.17.0.7,0.8,20.37,0.06,2024-11-04,06:47:31
172.17.0.6,100,20.41,0.06,2024-11-04,06:47:33
172.17.0.5,100,20.38,0.06,2024-11-04,06:47:34
172.17.0.4,100,20.33,0.06,2024-11-04,06:47:36
172.17.0.2,5.7,20.37,0.06,2024-11-04,06:47:38
172.17.0.3,100,20.36,0.06,2024-11-04,06:47:39
172.17.0.8,1.6,20.38,0.06,2024-11-04,06:47:45
172.17.0.7,100,20.38,0.06,2024-11-04,06:47:47
172.17.0.6,100,20.37,0.06,2024-11-04,06:47:48
172.17.0.5,0.8,20.37,0.06,2024-11-04,06:47:50
172.17.0.4,4.9,20.41,0.06,2024-11-04,06:47:52
172.17.0.2,8.1,20.41,0.06,2024-11-04,06:47:53
172.17.0.3,0.8,20.42,0.03,2024-11-04,06:47:56
172.17.0.8,100,20.36,0.06,2024-11-04,06:48:02
172.17.0.7,100,20.36,0.06,2024-11-04,06:48:04
172.17.0.6,100,20.38,0.06,2024-11-04,06:48:05
172.17.0.5,100,20.36,0.06,2024-11-04,06:48:07
172.17.0.4,0.8,20.40,0.06,2024-11-04,06:48:09
172.17.0.2,100,20.42,0.06,2024-11-04,06:48:11
172.17.0.3,100,20.43,0.06,2024-11-04,06:48:12
172.17.0.8,100,20.41,0.06,2024-11-04,06:48:18
172.17.0.7,100,20.41,0.06,2024-11-04,06:48:19
172.17.0.6,100,20.38,0.06,2024-11-04,06:48:21
172.17.0.5,100,20.38,0.06,2024-11-04,06:48:23
172.17.0.4,100,20.38,0.06,2024-11-04,06:48:25
172.17.0.2,100,20.40,0.06,2024-11-04,06:48:26
172.17.0.3,8.2,20.38,0.06,2024-11-04,06:48:28
172.17.0.8,100,20.35,0.06,2024-11-04,06:48:35
172.17.0.7,100,20.38,0.06,2024-11-04,06:48:36
172.17.0.6,100,20.41,0.06,2024-11-04,06:48:38
172.17.0.5,100,20.40,0.06,2024-11-04,06:48:40
172.17.0.4,100,20.40,0.06,2024-11-04,06:48:41
172.17.0.2,3.3,20.42,0.06,2024-11-04,06:48:43
172.17.0.3,0.8,20.43,0.06,2024-11-04,06:48:45
172.17.0.8,100,20.41,0.06,2024-11-04,06:48:50
172.17.0.7,100,20.41,0.06,2024-11-04,06:48:52
172.17.0.6,0.8,20.41,0.06,2024-11-04,06:48:54
172.17.0.5,100,20.42,0.06,2024-11-04,06:48:55
172.17.0.4,100,20.41,0.06,2024-11-04,06:48:57
172.17.0.2,2.5,20.40,0.06,2024-11-04,06:48:59
172.17.0.3,0.8,20.40,0.06,2024-11-04,06:49:00
172.17.0.8,1.6,20.40,0.06,2024-11-04,06:49:08
172.17.0.7,100,20.41,0.06,2024-11-04,06:49:09
172.17.0.6,12,20.43,0.06,2024-11-04,06:49:11
172.17.0.5,100,20.47,0.06,2024-11-04,06:49:13
172.17.0.4,100,20.42,0.06,2024-11-04,06:49:14
172.17.0.2,3.3,20.42,0.06,2024-11-04,06:49:16
172.17.0.3,100,20.47,0.06,2024-11-04,06:49:18
172.17.0.8,100,20.46,0.06,2024-11-04,06:49:23
172.17.0.7,8.7,20.43,0.06,2024-11-04,06:49:25
172.17.0.6,100,20.46,0.06,2024-11-04,06:49:27
172.17.0.5,100,20.43,0.06,2024-11-04,06:49:28
172.17.0.4,100,20.43,0.06,2024-11-04,06:49:30
172.17.0.2,100,20.42,0.06,2024-11-04,06:49:32
172.17.0.3,100,20.47,0.06,2024-11-04,06:49:33
172.17.0.8,0.8,20.49,0.06,2024-11-04,06:49:41
172.17.0.7,100,20.46,0.06,2024-11-04,06:49:42
172.17.0.6,0.8,20.46,0.06,2024-11-04,06:49:44
172.17.0.5,100,20.43,0.06,2024-11-04,06:49:46
172.17.0.4,100,20.42,0.06,2024-11-04,06:49:47
172.17.0.2,100,20.41,0.06,2024-11-04,06:49:49
172.17.0.3,1.6,20.43,0.06,2024-11-04,06:49:51
172.17.0.8,100,20.45,0.06,2024-11-04,06:49:56
172.17.0.7,4.1,20.47,0.06,2024-11-04,06:49:58
172.17.0.6,100,20.46,0.06,2024-11-04,06:50:00
172.17.0.5,100,20.50,0.06,2024-11-04,06:50:01
172.17.0.4,0.8,20.49,0.06,2024-11-04,06:50:03
172.17.0.2,0.8,20.49,0.06,2024-11-04,06:50:05
172.17.0.3,8.3,20.47,0.06,2024-11-04,06:50:06
172.17.0.8,18.8,20.51,0.06,2024-11-04,06:50:14
172.17.0.7,100,20.49,0.06,2024-11-04,06:50:15
172.17.0.6,100,20.54,0.06,2024-11-04,06:50:17
172.17.0.5,100,20.52,0.06,2024-11-04,06:50:19
172.17.0.4,0.8,20.51,0.06,2024-11-04,06:50:20
172.17.0.2,100,20.50,0.06,2024-11-04,06:50:22
172.17.0.3,100,20.47,0.06,2024-11-04,06:50:24
172.17.0.8,11.4,20.43,0.06,2024-11-04,06:50:29
172.17.0.7,100,20.45,0.06,2024-11-04,06:50:31
172.17.0.6,0.8,20.46,0.06,2024-11-04,06:50:33
172.17.0.5,100,20.50,0.06,2024-11-04,06:50:34
172.17.0.4,11.9,20.50,0.06,2024-11-04,06:50:36
172.17.0.2,100,20.47,0.06,2024-11-04,06:50:38
172.17.0.3,0.8,20.46,0.06,2024-11-04,06:50:39
172.17.0.8,1.6,20.50,0.06,2024-11-04,06:50:46
172.17.0.7,100,20.50,0.06,2024-11-04,06:50:48
172.17.0.6,100,20.47,0.06,2024-11-04,06:50:50
172.17.0.5,11.6,20.47,0.06,2024-11-04,06:50:51
172.17.0.4,100,20.47,0.06,2024-11-04,06:50:53
172.17.0.2,100,20.51,0.06,2024-11-04,06:50:55
172.17.0.3,100,20.52,0.06,2024-11-04,06:50:56
172.17.0.8,100,20.50,0.06,2024-11-04,06:51:02
172.17.0.7,2.4,20.46,0.06,2024-11-04,06:51:04
172.17.0.6,6.5,20.49,0.06,2024-11-04,06:51:05
172.17.0.5,11.3,20.49,0.06,2024-11-04,06:51:07
172.17.0.4,100,20.50,0.06,2024-11-04,06:51:09
172.17.0.2,100,20.50,0.06,2024-11-04,06:51:10
172.17.0.3,1.7,20.52,0.06,2024-11-04,06:51:12
172.17.0.8,100,20.50,0.02,2024-11-04,06:51:19
172.17.0.7,100,20.49,0.06,2024-11-04,06:51:21
172.17.0.6,1.6,20.49,0.06,2024-11-04,06:51:23
172.17.0.5,100,20.46,0.06,2024-11-04,06:51:24
172.17.0.4,100,20.45,0.06,2024-11-04,06:51:26
172.17.0.2,100,20.52,0.06,2024-11-04,06:51:28
172.17.0.3,100,20.52,0.06,2024-11-04,06:51:29
172.17.0.8,100,20.47,0.06,2024-11-04,06:51:35
172.17.0.7,6.7,20.47,0.06,2024-11-04,06:51:37
172.17.0.6,100,20.45,0.06,2024-11-04,06:51:38
172.17.0.5,5.8,20.50,0.06,2024-11-04,06:51:40
172.17.0.4,1.6,20.51,0.06,2024-11-04,06:51:42
172.17.0.2,1.7,20.51,0.06,2024-11-04,06:51:43
172.17.0.3,0.8,20.51,0.06,2024-11-04,06:51:45
172.17.0.8,0.8,20.55,0.06,2024-11-04,06:51:50
172.17.0.7,100,20.50,0.02,2024-11-04,06:51:54
172.17.0.6,100,20.52,0.06,2024-11-04,06:51:55
172.17.0.5,1.6,20.54,0.06,2024-11-04,06:51:57
172.17.0.4,100,20.54,0.06,2024-11-04,06:51:59
172.17.0.2,9.9,20.51,0.06,2024-11-04,06:52:00
172.17.0.3,100,20.51,0.06,2024-11-04,06:52:02
172.17.0.8,100,20.49,0.06,2024-11-04,06:52:08
172.17.0.7,100,20.51,0.06,2024-11-04,06:52:09
172.17.0.6,0.8,20.50,0.06,2024-11-04,06:52:11
172.17.0.5,0.8,20.51,0.06,2024-11-04,06:52:13
172.17.0.4,100,20.51,0.06,2024-11-04,06:52:14
172.17.0.2,0.8,20.50,0.06,2024-11-04,06:52:16
172.17.0.3,100,20.50,0.06,2024-11-04,06:52:18
172.17.0.8,100,20.47,0.06,2024-11-04,06:52:23
172.17.0.7,0.8,20.47,0.06,2024-11-04,06:52:25
172.17.0.6,100,20.47,0.06,2024-11-04,06:52:28
172.17.0.5,1.6,20.51,0.06,2024-11-04,06:52:30
172.17.0.4,100,20.49,0.06,2024-11-04,06:52:32
172.17.0.2,3.4,20.50,0.06,2024-11-04,06:52:33
172.17.0.3,1.6,20.49,0.06,2024-11-04,06:52:35
172.17.0.8,100,20.43,0.06,2024-11-04,06:52:41
172.17.0.7,100,20.49,0.06,2024-11-04,06:52:42
172.17.0.6,13.6,20.50,0.06,2024-11-04,06:52:44
172.17.0.5,100,20.50,0.06,2024-11-04,06:52:46
172.17.0.4,100,20.50,0.06,2024-11-04,06:52:47
172.17.0.2,100,20.51,0.06,2024-11-04,06:52:49
172.17.0.3,100,20.49,0.06,2024-11-04,06:52:51
172.17.0.8,11.3,20.49,0.06,2024-11-04,06:52:56
172.17.0.7,0.8,20.51,0.06,2024-11-04,06:52:58
172.17.0.6,2.4,20.51,0.02,2024-11-04,06:53:01
172.17.0.5,0.8,20.49,0.06,2024-11-04,06:53:03
172.17.0.4,100,20.55,0.06,2024-11-04,06:53:05
